PSD @ YYE. Version 2.0.1.. Simulation on 2023- 5-31   10h19
# Polygon   3, Gmax   2, Length    2.00, Thickness 1.00E-03
# No. Particle  1000000, Rho ratio  2.00, Reactivity 1.00E-01, Diff coef 1.00E+00

#   Segment Index   Hitting Probability

       1          1.2862E-02
       2          1.3293E-02
       3          1.6851E-02
       4          3.9392E-02
       5          3.9754E-02
       6          1.7409E-02
       7          1.3488E-02
       8          1.3535E-02
       9          1.3323E-02
      10          1.3749E-02
      11          1.7326E-02
      12          3.9616E-02
      13          3.9168E-02
      14          1.6965E-02
      15          1.2934E-02
      16          1.2872E-02
      17          1.2811E-02
      18          1.3224E-02
      19          1.6825E-02
      20          3.9536E-02
      21          3.9713E-02
      22          1.7549E-02
      23          1.3564E-02
      24          1.3568E-02
      25          1.3362E-02
      26          1.3624E-02
      27          1.7295E-02
      28          3.9760E-02
      29          3.9190E-02
      30          1.6896E-02
      31          1.3413E-02
      32          1.2997E-02
      33          1.3222E-02
      34          1.3338E-02
      35          1.6966E-02
      36          3.9444E-02
      37          3.9577E-02
      38          1.7463E-02
      39          1.3714E-02
      40          1.3504E-02
      41          1.3386E-02
      42          1.3821E-02
      43          1.7136E-02
      44          3.9826E-02
      45          3.9632E-02
      46          1.6852E-02
      47          1.3034E-02
      48          1.3221E-02
