PSD @ YYE. Version 2.0.2.. Simulation on 2023- 5-31   13h55
# Polygon   3, Gmax   2, Length    2.00, Thickness 1.00E-03
# No. Particle  1000000, Rho ratio  2.00, Reactivity 1.00E-01, Diff coef 1.00E+00

#   Segment Index   Hitting Probability

       1          1.2867E-02
       2          1.3241E-02
       3          1.6991E-02
       4          3.9387E-02
       5          3.9651E-02
       6          1.7377E-02
       7          1.3538E-02
       8          1.3663E-02
       9          1.3707E-02
      10          1.3567E-02
      11          1.7702E-02
      12          3.9290E-02
      13          3.9337E-02
      14          1.7257E-02
      15          1.3188E-02
      16          1.3031E-02
      17          1.3155E-02
      18          1.2889E-02
      19          1.7085E-02
      20          3.9122E-02
      21          3.9769E-02
      22          1.7453E-02
      23          1.3455E-02
      24          1.3550E-02
      25          1.3392E-02
      26          1.3700E-02
      27          1.7220E-02
      28          3.9677E-02
      29          3.9434E-02
      30          1.6930E-02
      31          1.3307E-02
      32          1.3153E-02
      33          1.3209E-02
      34          1.3134E-02
      35          1.6827E-02
      36          3.9583E-02
      37          3.9811E-02
      38          1.7511E-02
      39          1.3635E-02
      40          1.3477E-02
      41          1.3166E-02
      42          1.3608E-02
      43          1.7190E-02
      44          3.9522E-02
      45          3.9154E-02
      46          1.6867E-02
      47          1.3069E-02
      48          1.3152E-02
