Circle Test @ YYE. Version 1.0.0.. Simulation on 2023- 6- 1   21h 2
# No. Particle  5000000, Rho ratio  2.00, Reactivity 1.00E+01, Diff coef 1.00E+00
 r0, θ0 =   0.50000000000000000        0.0000000000000000     

       1            1.54679095E-01
       2            1.26115893E-01
       3            8.26638794E-02
       4            4.06713292E-02
       5            9.72189353E-03
       6           -8.50470537E-03
       7           -1.66588570E-02
       8           -1.83447051E-02
       9           -1.65075642E-02
      10           -1.30917625E-02
      11           -9.21953815E-03
      12           -5.46768714E-03
      13           -2.09148281E-03
      14            8.27644049E-04
      15            3.29448118E-03
      16            5.35155325E-03
      17            7.05385208E-03
      18            8.45654568E-03
      19            9.60962224E-03
      20            1.05560742E-02
      21            1.13317832E-02
      22            1.19661404E-02
      23            1.24829159E-02
      24            1.29011418E-02
      25            1.32359093E-02
      26            1.34990422E-02
      27            1.36996448E-02
      28            1.38445299E-02
      29            1.39385424E-02
      30            1.39847898E-02
      31            1.39847898E-02
      32            1.39385424E-02
      33            1.38445299E-02
      34            1.36996448E-02
      35            1.34990422E-02
      36            1.32359093E-02
      37            1.29011418E-02
      38            1.24829159E-02
      39            1.19661404E-02
      40            1.13317832E-02
      41            1.05560742E-02
      42            9.60962224E-03
      43            8.45654568E-03
      44            7.05385208E-03
      45            5.35155325E-03
      46            3.29448118E-03
      47            8.27644049E-04
      48           -2.09148281E-03
      49           -5.46768714E-03
      50           -9.21953815E-03
      51           -1.30917625E-02
      52           -1.65075642E-02
      53           -1.83447051E-02
      54           -1.66588570E-02
      55           -8.50470537E-03
      56            9.72189353E-03
      57            4.06713292E-02
      58            8.26638794E-02
      59            1.26115893E-01
      60            1.54679095E-01
