PSD @ YYE. Simulation done on 2023- 4-26   15h56
           1 ,   8.3582000000000004E-002 ,
           2 ,   8.3790000000000003E-002 ,
           3 ,   8.3380999999999997E-002 ,
           4 ,   8.3407999999999996E-002 ,
           5 ,   8.3922999999999998E-002 ,
           6 ,   8.2891000000000006E-002 ,
           7 ,   8.3668999999999993E-002 ,
           8 ,   8.3028000000000005E-002 ,
           9 ,   8.2741999999999996E-002 ,
          10 ,   8.3159999999999998E-002 ,
          11 ,   8.3012000000000002E-002 ,
          12 ,   8.3414000000000002E-002 ,
