PSD @ YYE. Simulation done on 2023- 4-26   15h56
 #               1
   0.0000000000000000        0.0000000000000000     
  -193.52190099157085       -271.40446744244963     
  -184.87744948379958       -286.35603598951218     
  -184.46996986965635       -284.07301634326177     
  -188.26724386782638       -281.47297738507638     
  -195.46466342536212       -281.21178744162171     
  -188.00132456336354       -281.20066269313992     
  -180.81318457637269       -283.24965604020633     
  -175.68979711528183       -281.46451781865801     
  -171.94999054196430       -287.62948668206172     
  -172.70670411743242       -286.90784679808695     
  -172.74479879490855       -285.14096962295440     
  -175.21960684996887       -287.66399303523582     
  -175.07463065779226       -286.66329869768515     
  -173.06733494137254       -286.79838231554800     
  -171.27831341948195       -286.23128346002255     
  -168.85163705346818       -285.94206004526109     
  -170.51668150180774       -288.10939100255894     
  -170.94578780640447       -287.74069927288258     
  -170.16603457566310       -287.22576794734545     
 #               2
   0.0000000000000000        0.0000000000000000     
   14.950726219229471       -332.99787821640649     
   124.17565543567316       -332.11631087418544     
   115.58382579467531       -344.50653735985424     
   129.64625833406214       -336.21803291712035     
   122.74599628369693       -340.81114064469261     
   110.93016036912361       -342.71611781825743     
   99.196314224494884       -360.43124563464409     
   120.40259027901170       -368.10789396253188     
 #               3
   0.0000000000000000        0.0000000000000000     
  -310.67551339061089       -120.79667417024113     
 #               4
   0.0000000000000000        0.0000000000000000     
  -67.303236624050257       -326.46804660033445     
  -11.338332753327641       -289.35071220508820     
   122.84176423680790       -289.02418505099314     
   155.07807781009615       -269.32470734463800     
   137.29187552250795       -283.19501500654422     
   157.20414412643464       -303.13439170739753     
 #               5
   0.0000000000000000        0.0000000000000000     
  -310.10125841562257        122.26332500042008     
  -229.92505635701770        135.43674250404553     
  -120.26026055891563        28.405731235701623     
  -321.06440549183719        105.11762918071015     
  -291.15397746346252        49.461664560855318     
  -336.38033368290479        8.1425470647336979     
  -336.74967720157173        6.7584864006476959     
  -336.50460467174105        6.4166589279898671     
 #               6
   0.0000000000000000        0.0000000000000000     
   223.75640177475623        247.07121195300138     
   246.31055247211447        282.03114137951337     
   252.88811002362124        281.09392075363934     
   247.61532799017758        286.54117445925988     
   249.72172717157861        286.88303458960985     
   249.28329099886210        285.14539361659422     
   251.22346954853367        282.19670262418572     
   253.92785131603333        288.08367128841871     
   253.37930825463204        288.30487109085834     
 #               7
   0.0000000000000000        0.0000000000000000     
  -188.49280176628008        274.92103374134342     
  -202.21625236598183        275.83874498403225     
  -206.00014738745989        263.57273354158718     
  -228.83027854402596        274.00899963684282     
  -222.62974667541840        287.29993335693098     
  -223.90309750749407        287.81931385629963     
  -223.05673224472201        287.94617984245167     
 #               8
   0.0000000000000000        0.0000000000000000     
  -162.66969499490060       -290.94618306720758     
  -160.72359154468589       -289.67231221346049     
  -160.15984885354200       -294.28626537324709     
  -159.44536369678488       -297.02407555828887     
  -159.43322000633492       -299.10340143637097     
 #               9
   0.0000000000000000        0.0000000000000000     
   176.48509377545457        282.77928280936715     
   172.74851493533498        287.33988001231279     
   172.40951447711350        286.04837566101793     
   174.47945197070385        284.43121108408047     
   171.81093366912719        281.13122671455704     
   176.62256169315992        275.32099592188354     
   188.47974535512384        281.46430246659440     
   192.08864233983559        275.22154966553876     
   178.94650630549484        272.34349339366400     
   194.85281729695660        276.04643478747118     
   206.11941871711250        281.75149843858821     
   202.53322129984042        275.82900523824310     
   213.80735989457443        269.67134022685633     
   199.56369323160018        257.09111127927122     
   226.43821650701562        273.68359534633731     
   219.14421098054899        286.78106580511144     
   220.98267436581284        287.23664122276011     
   222.39628662489042        287.50303109198495     
   222.58852726239752        286.34680007759698     
   220.88833991204245        284.75604409450210     
   221.56725846434691        280.89620731699921     
 #              10
   0.0000000000000000        0.0000000000000000     
  -55.230497399672302       -328.72587861027290     
  -14.684681691015761       -393.57499540284493     
  -90.511046322370703       -370.80871550637374     
  -115.14520414376017       -374.33955886255785     
  -113.60674546901321       -373.43105352639839     
  -114.62181649115486       -376.85712449895971     
 #              11
   0.0000000000000000        0.0000000000000000     
   295.80431666078806        153.65844381600155     
   255.03613199730708        255.10335710370111     
   227.91849534573484        235.31199468606974     
   214.63927719120574        286.99649009934171     
   212.96192345117313        286.93067389332259     
   211.77437273643633        288.20851051784570     
   212.23997031674534        288.17757635524202     
   212.28812626467075        287.68235397444289     
 #              12
   0.0000000000000000        0.0000000000000000     
   308.04932374281015       -127.34490666182299     
   375.56713624324749       -74.776789313831131     
