PSD @ YYE. Simulation done on 2023- 4-26   15h56
           1   1.0000000000000000     
           2   8.3334850308000002E-002
           3   6.9448236824498797E-003
           4   5.7876690945620325E-004
           5   4.8234087188164911E-005
           6   4.0198730409015631E-006
           7   3.3502599845329428E-007
           8   2.7922389559599968E-008
           9   2.3272045128079568E-009
          10   1.9396546587602732E-010
