PSD @ YYE. Simulation done on 2023- 5-24   21h 9
  -50.000000000000000       -28.867513459481291     
  -46.296296296296298       -28.867513459481291     
  -44.444444444444443       -32.075014954979210     
  -42.592592592592588       -28.867513459481291     
  -38.888888888888886       -28.867513459481291     
  -37.037037037037031       -32.075014954979210     
  -38.888888888888886       -35.282516450477132     
  -35.185185185185183       -35.282516450477132     
  -33.333333333333329       -38.490017945975055     
  -31.481481481481477       -35.282516450477132     
  -27.777777777777775       -35.282516450477132     
  -29.629629629629630       -32.075014954979210     
  -27.777777777777779       -28.867513459481291     
  -24.074074074074073       -28.867513459481291     
  -22.222222222222221       -32.075014954979210     
  -20.370370370370370       -28.867513459481291     
  -16.666666666666664       -28.867513459481291     
  -14.814814814814813       -32.075014954979210     
  -16.666666666666664       -35.282516450477132     
  -12.962962962962962       -35.282516450477132     
  -11.111111111111111       -38.490017945975055     
  -12.962962962962964       -41.697519441472977     
  -16.666666666666668       -41.697519441472977     
  -14.814814814814815       -44.905020936970899     
  -16.666666666666668       -48.112522432468822     
  -12.962962962962964       -48.112522432468822     
  -11.111111111111111       -51.320023927966744     
  -9.2592592592592595       -48.112522432468822     
  -5.5555555555555545       -48.112522432468822     
  -3.7037037037037033       -51.320023927966744     
  -5.5555555555555554       -54.527525423464667     
  -1.8518518518518514       -54.527525423464660     
   0.0000000000000000       -57.735026918962582     
   1.8518518518518514       -54.527525423464660     
   5.5555555555555545       -54.527525423464660     
   3.7037037037037033       -51.320023927966744     
   5.5555555555555545       -48.112522432468822     
   9.2592592592592595       -48.112522432468822     
   11.111111111111111       -51.320023927966744     
   12.962962962962964       -48.112522432468822     
   16.666666666666668       -48.112522432468822     
   14.814814814814815       -44.905020936970899     
   16.666666666666668       -41.697519441472977     
   12.962962962962964       -41.697519441472977     
   11.111111111111111       -38.490017945975055     
   12.962962962962962       -35.282516450477132     
   16.666666666666664       -35.282516450477132     
   14.814814814814813       -32.075014954979210     
   16.666666666666664       -28.867513459481291     
   20.370370370370370       -28.867513459481291     
   22.222222222222221       -32.075014954979210     
   24.074074074074073       -28.867513459481291     
   27.777777777777779       -28.867513459481291     
   29.629629629629630       -32.075014954979210     
   27.777777777777779       -35.282516450477132     
   31.481481481481485       -35.282516450477132     
   33.333333333333336       -38.490017945975055     
   35.185185185185183       -35.282516450477132     
   38.888888888888886       -35.282516450477132     
   37.037037037037038       -32.075014954979210     
   38.888888888888886       -28.867513459481291     
   42.592592592592588       -28.867513459481291     
   44.444444444444443       -32.075014954979210     
   46.296296296296298       -28.867513459481291     
   50.000000000000000       -28.867513459481291     
   48.148148148148152       -25.660011963983369     
   50.000000000000007       -22.452510468485450     
   46.296296296296298       -22.452510468485450     
   44.444444444444450       -19.245008972987527     
   46.296296296296305       -16.037507477489608     
   50.000000000000007       -16.037507477489612     
   48.148148148148159       -12.830005981991690     
   50.000000000000014       -9.6225044864937708     
   46.296296296296305       -9.6225044864937690     
   44.444444444444450       -6.4150029909958430     
   42.592592592592602       -9.6225044864937654     
   38.888888888888893       -9.6225044864937637     
   37.037037037037045       -6.4150029909958430     
   38.888888888888900       -3.2075014954979242     
   35.185185185185190       -3.2075014954979211     
   33.333333333333343        0.0000000000000000     
   35.185185185185198        3.2075014954979193     
   38.888888888888900        3.2075014954979162     
   37.037037037037052        6.4150029909958395     
   38.888888888888907        9.6225044864937583     
   42.592592592592609        9.6225044864937566     
   44.444444444444457        6.4150029909958333     
   46.296296296296319        9.6225044864937530     
   50.000000000000021        9.6225044864937512     
   48.148148148148167        12.830005981991674     
   50.000000000000021        16.037507477489598     
   46.296296296296319        16.037507477489598     
   44.444444444444464        19.245008972987520     
   46.296296296296319        22.452510468485439     
   50.000000000000021        22.452510468485436     
   48.148148148148174        25.660011963983358     
   50.000000000000028        28.867513459481277     
   46.296296296296326        28.867513459481280     
   44.444444444444478        32.075014954979203     
   42.592592592592617        28.867513459481280     
   38.888888888888914        28.867513459481284     
   37.037037037037067        32.075014954979210     
   38.888888888888921        35.282516450477132     
   35.185185185185212        35.282516450477132     
   33.333333333333364        38.490017945975055     
   31.481481481481509        35.282516450477132     
   27.777777777777803        35.282516450477139     
   29.629629629629651        32.075014954979210     
   27.777777777777796        28.867513459481291     
   24.074074074074090        28.867513459481295     
   22.222222222222239        32.075014954979217     
   20.370370370370388        28.867513459481295     
   16.666666666666682        28.867513459481298     
   14.814814814814831        32.075014954979217     
