PSD @ YYE. Simulation done on 2023- 5- 4   17h29
           1 ,   4.6129999999999999E-003 ,
           2 ,   5.3780000000000000E-003 ,
           3 ,   8.6979999999999991E-003 ,
           4 ,   6.4566999999999999E-002 ,
           5 ,   6.4615000000000006E-002 ,
           6 ,   8.4069999999999995E-003 ,
           7 ,   5.4140000000000004E-003 ,
           8 ,   4.4130000000000003E-003 ,
           9 ,   4.4450000000000002E-003 ,
          10 ,   5.4710000000000002E-003 ,
          11 ,   8.5190000000000005E-003 ,
          12 ,   6.4711000000000005E-002 ,
          13 ,   6.4734000000000000E-002 ,
          14 ,   8.4519999999999994E-003 ,
          15 ,   5.3460000000000001E-003 ,
          16 ,   4.4650000000000002E-003 ,
          17 ,   4.4110000000000000E-003 ,
          18 ,   5.3819999999999996E-003 ,
          19 ,   8.6239999999999997E-003 ,
          20 ,   6.4708000000000002E-002 ,
          21 ,   6.4621999999999999E-002 ,
          22 ,   8.6110000000000006E-003 ,
          23 ,   5.5620000000000001E-003 ,
          24 ,   4.4910000000000002E-003 ,
          25 ,   4.5019999999999999E-003 ,
          26 ,   5.4900000000000001E-003 ,
          27 ,   8.5100000000000002E-003 ,
          28 ,   6.4820000000000003E-002 ,
          29 ,   6.5049999999999997E-002 ,
          30 ,   8.4869999999999998E-003 ,
          31 ,   5.4980000000000003E-003 ,
          32 ,   4.4730000000000004E-003 ,
          33 ,   4.6460000000000000E-003 ,
          34 ,   5.5750000000000001E-003 ,
          35 ,   8.8470000000000007E-003 ,
          36 ,   6.4939999999999998E-002 ,
          37 ,   6.5079999999999999E-002 ,
          38 ,   8.6899999999999998E-003 ,
          39 ,   5.4819999999999999E-003 ,
          40 ,   4.5240000000000002E-003 ,
          41 ,   4.4840000000000001E-003 ,
          42 ,   5.4339999999999996E-003 ,
          43 ,   8.4399999999999996E-003 ,
          44 ,   6.5113000000000004E-002 ,
          45 ,   6.4639000000000002E-002 ,
          46 ,   8.5269999999999999E-003 ,
          47 ,   5.5490000000000001E-003 ,
          48 ,   4.5409999999999999E-003 ,
