PSD @ YYE. Version 2.0.2.. Simulation on 2023- 5-31   13h28
# Polygon   3, Gmax   2, Length    2.00, Thickness 1.00E-03
# No. Particle  1000000, Rho ratio  2.00, Reactivity 1.00E+00, Diff coef 1.00E+00

#   Segment Index   Hitting Probability

       1          1.2544E-02
       2          1.3512E-02
       3          1.7135E-02
       4          3.9772E-02
       5          3.9947E-02
       6          1.7403E-02
       7          1.3743E-02
       8          1.2835E-02
       9          1.2891E-02
      10          1.3632E-02
      11          1.7349E-02
      12          3.9730E-02
      13          3.9757E-02
      14          1.7110E-02
      15          1.3247E-02
      16          1.2408E-02
      17          1.2659E-02
      18          1.3445E-02
      19          1.6795E-02
      20          3.9701E-02
      21          3.9987E-02
      22          1.7555E-02
      23          1.3756E-02
      24          1.2998E-02
      25          1.2802E-02
      26          1.3881E-02
      27          1.7404E-02
      28          3.9909E-02
      29          3.9410E-02
      30          1.7186E-02
      31          1.3408E-02
      32          1.2658E-02
      33          1.2620E-02
      34          1.3198E-02
      35          1.6964E-02
      36          3.9652E-02
      37          4.0081E-02
      38          1.7571E-02
      39          1.3791E-02
      40          1.2749E-02
      41          1.2998E-02
      42          1.3733E-02
      43          1.7179E-02
      44          3.9755E-02
      45          4.0074E-02
      46          1.7209E-02
      47          1.3222E-02
      48          1.2635E-02
