PSD @ YYE. Simulation done on 2023- 5- 2   23h53
  -96.707818930041213       -495.38078652690115     
  -98.765432098765487       -491.81689597634789     
  -96.707818930041199       -488.25300542579464     
  -92.592592592592652       -488.25300542579464     
  -94.650205761316926       -484.68911487524144     
  -92.592592592592638       -481.12522432468819     
  -88.477366255144076       -481.12522432468819     
  -86.419753086419803       -484.68911487524144     
  -84.362139917695515       -481.12522432468819     
  -80.246913580246954       -481.12522432468819     
  -78.189300411522680       -484.68911487524144     
  -80.246913580246968       -488.25300542579470     
  -76.131687242798392       -488.25300542579470     
  -74.074074074074119       -491.81689597634795     
  -72.016460905349845       -488.25300542579470     
  -67.901234567901284       -488.25300542579470     
  -69.958847736625557       -484.68911487524144     
  -67.901234567901284       -481.12522432468819     
  -63.786008230452723       -481.12522432468819     
  -61.728395061728442       -484.68911487524144     
  -59.670781893004161       -481.12522432468819     
  -55.555555555555600       -481.12522432468819     
  -53.497942386831319       -484.68911487524144     
  -55.555555555555586       -488.25300542579470     
  -51.440329218107038       -488.25300542579464     
  -49.382716049382758       -491.81689597634789     
  -51.440329218107031       -495.38078652690115     
  -55.555555555555600       -495.38078652690115     
  -53.497942386831312       -498.94467707745440     
  -55.555555555555586       -502.50856762800765     
  -51.440329218107031       -502.50856762800765     
  -49.382716049382758       -506.07245817856091     
  -47.325102880658477       -502.50856762800765     
  -43.209876543209923       -502.50856762800765     
  -41.152263374485642       -506.07245817856091     
  -43.209876543209909       -509.63634872911416     
  -39.094650205761361       -509.63634872911410     
  -37.037037037037081       -513.20023927966736     
  -39.094650205761361       -516.76412983022055     
  -43.209876543209916       -516.76412983022055     
  -41.152263374485642       -520.32802038077386     
  -43.209876543209923       -523.89191093132706     
  -47.325102880658484       -523.89191093132706     
  -49.382716049382765       -520.32802038077386     
  -51.440329218107046       -523.89191093132706     
  -55.555555555555607       -523.89191093132706     
  -53.497942386831326       -527.45580148188037     
  -55.555555555555628       -531.01969203243368     
  -51.440329218107038       -531.01969203243357     
  -49.382716049382758       -534.58358258298688     
  -51.440329218107038       -538.14747313354007     
  -55.555555555555586       -538.14747313354007     
  -53.497942386831319       -541.71136368409339     
  -55.555555555555600       -545.27525423464658     
  -51.440329218107038       -545.27525423464658     
  -49.382716049382758       -548.83914478519978     
  -47.325102880658484       -545.27525423464658     
  -43.209876543209923       -545.27525423464658     
  -41.152263374485642       -548.83914478519978     
  -43.209876543209916       -552.40303533575297     
  -39.094650205761369       -552.40303533575309     
  -37.037037037037088       -555.96692588630629     
  -34.979423868312807       -552.40303533575309     
  -30.864197530864256       -552.40303533575309     
  -32.921810699588526       -548.83914478519978     
  -30.864197530864246       -545.27525423464658     
  -26.748971193415688       -545.27525423464658     
  -24.691358024691411       -548.83914478519978     
  -22.633744855967130       -545.27525423464658     
  -18.518518518518572       -545.27525423464658     
  -16.460905349794292       -548.83914478519978     
  -18.518518518518562       -552.40303533575297     
  -14.403292181070013       -552.40303533575309     
  -12.345679012345734       -555.96692588630629     
  -14.403292181070015       -559.53081643685948     
  -18.518518518518565       -559.53081643685948     
  -16.460905349794295       -563.09470698741279     
  -18.518518518518576       -566.65859753796599     
  -14.403292181070015       -566.65859753796599     
  -12.345679012345768       -570.22248808851930     
  -10.288065843621457       -566.65859753796610     
  -6.1728395061728953       -566.65859753796610     
  -4.1152263374486164       -570.22248808851930     
  -6.1728395061728873       -573.78637863907250     
  -2.0576131687243362       -573.78637863907261     
  -5.6843418860808015E-014  -577.35026918962581     
   2.0576131687242238       -573.78637863907261     
   6.1728395061727745       -573.78637863907261     
   4.1152263374485045       -570.22248808851930     
   6.1728395061727852       -566.65859753796610     
   10.288065843621347       -566.65859753796610     
   12.345679012345627       -570.22248808851930     
   14.403292181069908       -566.65859753796610     
   18.518518518518469       -566.65859753796610     
   16.460905349794189       -563.09470698741279     
   18.518518518518494       -559.53081643685948     
   14.403292181069908       -559.53081643685960     
   12.345679012345627       -555.96692588630629     
   14.403292181069908       -552.40303533575309     
   18.518518518518459       -552.40303533575309     
   16.460905349794189       -548.83914478519978     
   18.518518518518469       -545.27525423464658     
   22.633744855967027       -545.27525423464658     
   24.691358024691304       -548.83914478519978     
   26.748971193415588       -545.27525423464658     
   30.864197530864146       -545.27525423464658     
   32.921810699588427       -548.83914478519978     
   30.864197530864153       -552.40303533575297     
   34.979423868312701       -552.40303533575309     
   37.037037037036981       -555.96692588630629     
   39.094650205761262       -552.40303533575309     
   43.209876543209816       -552.40303533575309     
   41.152263374485550       -548.83914478519978     
   43.209876543209830       -545.27525423464658     
   47.325102880658392       -545.27525423464658     
   49.382716049382672       -548.83914478519978     
   51.440329218106946       -545.27525423464658     
   55.555555555555507       -545.27525423464658     
   53.497942386831227       -541.71136368409339     
   55.555555555555500       -538.14747313354019     
   51.440329218106953       -538.14747313354007     
   49.382716049382672       -534.58358258298688     
   51.440329218106953       -531.01969203243368     
   55.555555555555507       -531.01969203243368     
   53.497942386831241       -527.45580148188037     
   55.555555555555522       -523.89191093132717     
   51.440329218106960       -523.89191093132717     
   49.382716049382715       -520.32802038077386     
   47.325102880658392       -523.89191093132706     
   43.209876543209830       -523.89191093132706     
   41.152263374485550       -520.32802038077386     
   43.209876543209823       -516.76412983022067     
   39.094650205761276       -516.76412983022055     
   37.037037037036995       -513.20023927966736     
   39.094650205761276       -509.63634872911410     
   43.209876543209830       -509.63634872911410     
   41.152263374485557       -506.07245817856091     
   43.209876543209838       -502.50856762800765     
   47.325102880658392       -502.50856762800765     
   49.382716049382672       -506.07245817856091     
   51.440329218106953       -502.50856762800765     
   55.555555555555507       -502.50856762800765     
   53.497942386831234       -498.94467707745440     
   55.555555555555522       -495.38078652690115     
   51.440329218106953       -495.38078652690115     
   49.382716049382680       -491.81689597634789     
   51.440329218106960       -488.25300542579464     
   55.555555555555515       -488.25300542579464     
   53.497942386831241       -484.68911487524144     
   55.555555555555522       -481.12522432468819     
   59.670781893004083       -481.12522432468819     
   61.728395061728364       -484.68911487524144     
   63.786008230452637       -481.12522432468819     
   67.901234567901199       -481.12522432468819     
   69.958847736625472       -484.68911487524144     
   67.901234567901184       -488.25300542579470     
   72.016460905349760       -488.25300542579470     
   74.074074074074034       -491.81689597634795     
   76.131687242798321       -488.25300542579470     
   80.246913580246883       -488.25300542579470     
   78.189300411522595       -484.68911487524144     
   80.246913580246883       -481.12522432468819     
   84.362139917695444       -481.12522432468819     
   86.419753086419718       -484.68911487524144     
   88.477366255144005       -481.12522432468819     
   92.592592592592567       -481.12522432468819     
   94.650205761316840       -484.68911487524144     
   92.592592592592567       -488.25300542579470     
   96.707818930041128       -488.25300542579464     
   98.765432098765402       -491.81689597634789     
   96.707818930041128       -495.38078652690115     
   92.592592592592567       -495.38078652690115     
   94.650205761316855       -498.94467707745440     
   92.592592592592581       -502.50856762800765     
   96.707818930041142       -502.50856762800765     
   98.765432098765416       -506.07245817856091     
   100.82304526748969       -502.50856762800765     
   104.93827160493825       -502.50856762800765     
   106.99588477366252       -506.07245817856091     
   104.93827160493825       -509.63634872911416     
   109.05349794238681       -509.63634872911410     
   111.11111111111109       -513.20023927966736     
   113.16872427983537       -509.63634872911410     
   117.28395061728392       -509.63634872911410     
   115.22633744855965       -506.07245817856091     
   117.28395061728394       -502.50856762800765     
   121.39917695473250       -502.50856762800765     
   123.45679012345677       -506.07245817856091     
   125.51440329218106       -502.50856762800765     
   129.62962962962962       -502.50856762800765     
   127.57201646090533       -498.94467707745440     
   129.62962962962962       -495.38078652690115     
   125.51440329218106       -495.38078652690115     
   123.45679012345677       -491.81689597634789     
   125.51440329218106       -488.25300542579464     
   129.62962962962962       -488.25300542579464     
   127.57201646090533       -484.68911487524144     
   129.62962962962962       -481.12522432468819     
   133.74485596707817       -481.12522432468819     
   135.80246913580245       -484.68911487524144     
   137.86008230452674       -481.12522432468819     
   141.97530864197529       -481.12522432468819     
   144.03292181069958       -484.68911487524144     
   141.97530864197529       -488.25300542579470     
   146.09053497942384       -488.25300542579470     
   148.14814814814812       -491.81689597634795     
   150.20576131687241       -488.25300542579470     
   154.32098765432099       -488.25300542579470     
   152.26337448559670       -484.68911487524144     
   154.32098765432099       -481.12522432468819     
   158.43621399176953       -481.12522432468819     
   160.49382716049382       -484.68911487524144     
   162.55144032921811       -481.12522432468819     
   166.66666666666666       -481.12522432468819     
   164.60905349794237       -477.56133377413494     
   166.66666666666666       -473.99744322358168     
   162.55144032921811       -473.99744322358168     
   160.49382716049382       -470.43355267302843     
   162.55144032921811       -466.86966212247518     
   166.66666666666669       -466.86966212247518     
   164.60905349794240       -463.30577157192192     
   166.66666666666669       -459.74188102136867     
   162.55144032921811       -459.74188102136867     
   160.49382716049382       -456.17799047081542     
   158.43621399176956       -459.74188102136873     
   154.32098765432099       -459.74188102136873     
   152.26337448559670       -456.17799047081547     
   154.32098765432099       -452.61409992026222     
   150.20576131687244       -452.61409992026222     
   148.14814814814815       -449.05020936970897     
   150.20576131687244       -445.48631881915571     
   154.32098765432102       -445.48631881915571     
   152.26337448559670       -441.92242826860246     
   154.32098765432099       -438.35853771804921     
   158.43621399176956       -438.35853771804921     
   160.49382716049385       -441.92242826860246     
   162.55144032921811       -438.35853771804921     
   166.66666666666669       -438.35853771804921     
   164.60905349794240       -434.79464716749595     
   166.66666666666666       -431.23075661694270     
   162.55144032921814       -431.23075661694276     
   160.49382716049385       -427.66686606638950     
   162.55144032921814       -424.10297551583625     
   166.66666666666671       -424.10297551583625     
   164.60905349794240       -420.53908496528300     
   166.66666666666669       -416.97519441472974     
   162.55144032921811       -416.97519441472974     
   160.49382716049382       -413.41130386417649     
   158.43621399176956       -416.97519441472974     
   154.32098765432099       -416.97519441472974     
   152.26337448559670       -413.41130386417649     
   154.32098765432099       -409.84741331362324     
   150.20576131687244       -409.84741331362324     
   148.14814814814815       -406.28352276306998     
   146.09053497942386       -409.84741331362324     
   141.97530864197529       -409.84741331362324     
   144.03292181069961       -413.41130386417649     
   141.97530864197532       -416.97519441472974     
   137.86008230452674       -416.97519441472974     
   135.80246913580245       -413.41130386417649     
   133.74485596707819       -416.97519441472974     
   129.62962962962962       -416.97519441472974     
   127.57201646090535       -413.41130386417649     
   129.62962962962965       -409.84741331362324     
   125.51440329218106       -409.84741331362324     
   123.45679012345678       -406.28352276306998     
   125.51440329218106       -402.71963221251673     
   129.62962962962962       -402.71963221251673     
   127.57201646090535       -399.15574166196348     
   129.62962962962962       -395.59185111141022     
   125.51440329218106       -395.59185111141022     
   123.45679012345677       -392.02796056085697     
   121.39917695473251       -395.59185111141028     
   117.28395061728395       -395.59185111141028     
   115.22633744855968       -392.02796056085703     
   117.28395061728396       -388.46407001030377     
   113.16872427983539       -388.46407001030377     
   111.11111111111111       -384.90017945975052     
   113.16872427983540       -381.33628890919726     
