### Segment         Probability
           1   4.4590000000000003E-003
           2   5.3940000000000004E-003
           3   8.6429999999999996E-003
           4   6.4860000000000001E-002
           5   6.4632999999999996E-002
           6   8.3859999999999994E-003
           7   5.5170000000000002E-003
           8   4.4869999999999997E-003
           9   4.5500000000000002E-003
          10   5.4400000000000004E-003
          11   8.4510000000000002E-003
          12   6.4446000000000003E-002
          13   6.5086000000000005E-002
          14   8.5439999999999995E-003
          15   5.3889999999999997E-003
          16   4.4299999999999999E-003
          17   4.5490000000000001E-003
          18   5.5659999999999998E-003
          19   8.5220000000000001E-003
          20   6.4692000000000000E-002
          21   6.4374000000000001E-002
          22   8.5089999999999992E-003
          23   5.4729999999999996E-003
          24   4.4990000000000004E-003
          25   4.4250000000000001E-003
          26   5.4530000000000004E-003
          27   8.6449999999999999E-003
          28   6.5029000000000003E-002
          29   6.4819000000000002E-002
          30   8.6180000000000007E-003
          31   5.4260000000000003E-003
          32   4.5729999999999998E-003
          33   4.4600000000000004E-003
          34   5.4310000000000001E-003
          35   8.4290000000000007E-003
          36   6.5408999999999995E-002
          37   6.4794000000000004E-002
          38   8.6280000000000003E-003
          39   5.4980000000000003E-003
          40   4.4390000000000002E-003
          41   4.5350000000000000E-003
          42   5.4890000000000000E-003
          43   8.5810000000000001E-003
          44   6.4897999999999997E-002
          45   6.5171000000000007E-002
          46   8.5229999999999993E-003
          47   5.4419999999999998E-003
          48   4.3860000000000001E-003
