PSD @ YYE. Simulation done on 2023- 4-19   22h14
   277.77777777777777       -288.67513459481290     
   283.95061728395063       -299.36680624647266     
   277.77777777777777       -310.05847789813242     
   290.12345679012344       -310.05847789813237     
   296.29629629629630       -320.75014954979213     
   290.12345679012344       -331.44182120145189     
   277.77777777777777       -331.44182120145189     
   283.95061728395063       -342.13349285311159     
   277.77777777777777       -352.82516450477135     
   290.12345679012344       -352.82516450477135     
   296.29629629629630       -363.51683615643105     
   302.46913580246911       -352.82516450477129     
   314.81481481481478       -352.82516450477129     
   320.98765432098764       -363.51683615643105     
   314.81481481481478       -374.20850780809081     
   327.16049382716045       -374.20850780809076     
   333.33333333333331       -384.90017945975052     
   339.50617283950618       -374.20850780809076     
   351.85185185185185       -374.20850780809076     
   345.67901234567898       -363.51683615643105     
   351.85185185185185       -352.82516450477129     
   364.19753086419752       -352.82516450477129     
   370.37037037037038       -363.51683615643105     
   376.54320987654324       -352.82516450477129     
   388.88888888888891       -352.82516450477129     
   382.71604938271605       -342.13349285311159     
   388.88888888888886       -331.44182120145183     
   376.54320987654324       -331.44182120145183     
   370.37037037037038       -320.75014954979213     
   376.54320987654324       -310.05847789813237     
   388.88888888888891       -310.05847789813237     
   382.71604938271605       -299.36680624647266     
   388.88888888888891       -288.67513459481290     
   401.23456790123458       -288.67513459481290     
   407.40740740740739       -299.36680624647261     
   413.58024691358025       -288.67513459481290     
   425.92592592592592       -288.67513459481290     
   432.09876543209879       -299.36680624647266     
   425.92592592592592       -310.05847789813242     
   438.27160493827159       -310.05847789813237     
   444.44444444444446       -320.75014954979213     
   450.61728395061732       -310.05847789813237     
   462.96296296296299       -310.05847789813237     
   456.79012345679013       -299.36680624647266     
   462.96296296296299       -288.67513459481290     
   475.30864197530866       -288.67513459481290     
   481.48148148148147       -299.36680624647261     
   487.65432098765433       -288.67513459481290     
   500.00000000000000       -288.67513459481290     
   493.82716049382714       -277.98346294315314     
   500.00000000000000       -267.29179129149338     
   487.65432098765433       -267.29179129149344     
   481.48148148148147       -256.60011963983368     
   487.65432098765433       -245.90844798817395     
   500.00000000000000       -245.90844798817395     
   493.82716049382714       -235.21677633651422     
   500.00000000000000       -224.52510468485448     
   487.65432098765433       -224.52510468485448     
   481.48148148148152       -213.83343303319475     
   475.30864197530866       -224.52510468485445     
   462.96296296296299       -224.52510468485445     
