PSD @ YYE. Simulation done on 2023- 5- 3   11h22
           1  0.99999999999999989     
           2  0.10000000000000003     
           3   1.0000000000000004E-002
           4   1.0000000000000005E-003
           5   1.0000000000000005E-004
           6   1.0000000000000006E-005
           7   1.0000000000000008E-006
           8   1.0000000000000009E-007
           9   1.0000000000000008E-008
          10   1.0000000000000009E-009
