### Segment         Probability
           1   5.8160000000000000E-003
           2   8.3149999999999995E-003
           3   9.0639999999999991E-003
           4   4.4464999999999998E-002
           5   7.8532000000000005E-002
           6   1.0692999999999999E-002
           7   6.9010000000000000E-003
           8   5.8739999999999999E-003
           9   6.0590000000000001E-003
          10   9.3589999999999993E-003
          11   9.2440000000000005E-003
          12   4.0451000000000001E-002
          13   7.7960000000000002E-002
          14   1.0904000000000000E-002
          15   7.0060000000000001E-003
          16   5.9810000000000002E-003
          17   6.1609999999999998E-003
          18   9.0900000000000009E-003
          19   8.9119999999999998E-003
          20   4.0511999999999999E-002
          21   7.8333000000000000E-002
          22   1.0949000000000000E-002
          23   7.0130000000000001E-003
          24   6.0250000000000000E-003
          25   6.3780000000000000E-003
          26   9.4160000000000008E-003
          27   9.2519999999999998E-003
          28   4.0627000000000003E-002
          29   7.7588000000000004E-002
          30   1.0961000000000000E-002
          31   6.9059999999999998E-003
          32   5.9100000000000003E-003
          33   6.1289999999999999E-003
          34   9.2339999999999992E-003
          35   8.9130000000000008E-003
          36   4.0266999999999997E-002
          37   7.8010999999999997E-002
          38   1.1190000000000000E-002
          39   7.0140000000000003E-003
          40   6.0629999999999998E-003
          41   6.3179999999999998E-003
          42   9.2449999999999997E-003
          43   9.2510000000000005E-003
          44   3.9988999999999997E-002
          45   7.6844999999999997E-002
          46   9.1140000000000006E-003
          47   6.2129999999999998E-003
          48   5.5469999999999998E-003
