PSD @ YYE. Simulation done on 2023- 5- 2   17h57
  -362.71130944788490        48.397948075237586     
  -348.43260972200613        45.823205382361195     
  -360.86563716415515        39.031755949961905     
  -357.48875091641281        45.113933565017270     
  -344.72626918098064        41.391168624594314     
  -335.21486758908759        34.528378568572265     
  -327.65436059704331        20.692501668011616     
  -322.56229691737792        6.0448758559973097     
  -335.38897830384252        8.5360167316709425     
  -332.97434805555224        9.1348058403810555     
  -337.40339828374283        7.0299942198125143     
  -337.48379124315414        6.9941928575986791     
  -337.44758215425020        6.9918830705483108     
  -337.39550078246674        6.9469346435892660     
  -337.31862696970484        6.8342928725647258     
  -337.12371753993369        7.0052630399267661     
  -337.45034616184103        7.1229355882978300     
 #            6
   0.0000000000000000        0.0000000000000000     
  -183.51181238322530       -222.83794122446307     
  -121.03374997025736       -243.59914899294608     
  -114.53184203340220       -307.41084664613345     
  -145.19766123878287       -325.84926490276507     
  -150.25339681733425       -326.55499442395950     
  -149.52904143241048       -325.75497387859082     
  -148.47150432470607       -324.56507673129482     
  -147.30285385640715       -323.43247750975917     
  -148.78628186636479       -321.98415353701375     
  -148.81108872190410       -321.92476427261755     
  -148.81951148751898       -321.91462156902713     
 #            7
   0.0000000000000000        0.0000000000000000     
  -200.20377003852599       -207.97063205100463     
  -164.45918229239084       -280.32767163736690     
  -158.69816128887786       -273.89620507944346     
  -157.70614552652438       -290.65716389161616     
  -152.90500961448635       -295.42882856908733     
  -144.98097059662155       -298.61629686968638     
  -146.32914040951789       -313.32486115997119     
  -142.50678284779963       -309.40974103374072     
  -139.80868538259804       -299.13075372018932     
  -124.85490959346650       -287.23492387356202     
  -160.01822581223053       -273.78664488483196     
  -143.91393440632535       -276.34020905141023     
  -118.08341390922840       -277.80300714069796     
  -131.66536097640994       -232.20507628981832     
  -116.08860159681642       -167.61929262017063     
   5.7495067559665074       -216.28275833537737     
   159.20163116321564       -301.55784735134097     
 #            7
   0.0000000000000000        0.0000000000000000     
  -87.033802057983991        275.24253056652600     
  -18.854987929069139        308.09325491075288     
   47.141885211585844        406.27273408898230     
   91.679829140702651        402.32344844507395     
   116.27328119535005        395.43619795522989     
   116.23526552349790        394.63966580009179     
   116.05597210607695        394.24652435210766     
   116.36389912313618        394.00589308094737     
 #            8
   0.0000000000000000        0.0000000000000000     
  -284.85533027611621       -46.805706346749012     
  -340.83118042036904       -13.011656295702544     
  -340.12869265036545       -15.222728361825684     
  -337.71082006853601       -19.054747032027809     
  -338.55845896990331       -27.312831377266850     
  -334.97615908003121       -18.913533298236096     
  -329.69487585939538       -11.152857996440062     
  -321.26338855177784       -8.8657466214105405     
  -327.96024473750464        4.4285278312033913     
  -324.96380181961848       -1.7507778974336325     
  -317.05298021837496        1.4947085989958717     
  -329.72350196180196        11.826307221328644     
  -336.86747170869467        6.2879218536662638     
  -336.38288193456191        5.3889226734666646     
  -334.54893096903800        4.4967783326209796     
  -335.79191393472530        4.3116753375385146     
  -335.73429916827610        5.0572372909223482     
  -335.35314247698960        3.6133522319033200     
  -335.40385810435640        3.5772478364077749     
  -335.39307747658142        3.5693614462211749     
  -335.38969868579215        3.5650586015561947     
  -335.38885383626854        3.5665444070145038     
  -335.38684315718353        3.5692609073068584     
  -335.38491400151406        3.5757382932933823     
  -335.38571444579372        3.5624672963527839     
 #            9
   0.0000000000000000        0.0000000000000000     
  -255.40755888459014       -134.53740074026987     
  -123.00616419432191       -109.46512164086153     
   5.5802343476726151       -241.70734760931836     
  -108.69228226549812       -371.13387187992021     
  -108.04383339285123       -362.17939926238250     
  -119.04377053020224       -372.62356517929595     
 #            9
   0.0000000000000000        0.0000000000000000     
  -270.64924838728638        100.41074484700489     
  -271.32626999454106        96.386661773772744     
  -191.15471720995964        33.500174747723754     
  -176.14831477230655       -111.79892530717979     
  -12.054699728995018       -45.780148326838273     
  -56.258407581596501        238.73499518319903     
   19.824156637300518        332.28995103804857     
   68.772870046385236        238.98849887795427     
   147.26035495706583        162.45967492276208     
   274.94639500317658        164.25477150520749     
   181.06746278579382        252.78273104678158     
   146.71823340640083        242.37143557039718     
   197.09689411898469        244.36218359295762     
   164.31956871567695        214.49714077057428     
   90.574754044894348        222.83895986189128     
   7.6903154636724196        279.88763128357209     
  -113.43730539468467        205.60991216907786     
  -211.96532559279936        210.65226418970360     
  -277.09991673118867        253.60634832017192     
  -311.97406172815471        257.29603414786061     
  -350.28605872784192        231.10014388296025     
  -289.92524419247871        197.01744855908578     
  -334.53207063164336        113.28408234608411     
  -279.43756844885291        120.79340946402800     
  -351.89567267989247        199.62357393776227     
  -321.20779852690049        112.01656274129438     
  -381.24520895019623        140.99047173934107     
  -425.23871816616088        155.37054360715376     
  -424.89879534091983        190.60896597868216     
  -440.36424540888981        202.70202141312245     
  -429.82622371276659        219.45407044306407     
  -456.74988513860330        224.04991699598622     
  -461.26489957371319        226.51284474461670     
  -463.05420078115890        228.41886966788667     
  -459.16269254336117        228.55141919915073     
  -458.85410651287231        223.02348662974305     
  -460.67081149997080        225.16404834025954     
  -462.28328089387145        226.81050387690172     
  -462.72378745869190        229.15378600852904     
  -464.47599373676030        233.44466807135399     
  -467.11639829785781        224.92487495417595     
  -466.95891256280919        224.55545048425654     
  -466.94565491401573        224.52815392238867     
 #           10
   0.0000000000000000        0.0000000000000000     
   271.99696129037687       -96.700498355150984     
   321.60463665629658       -8.1846357968773873     
   313.35121897793613        3.4314784930775470     
   318.40343798967172       -16.203567262358916     
   338.63594053507245       -10.461805726859522     
   338.54563442936501       -11.094099709671427     
   337.56937104137120       -10.731481209737167     
   337.62051239587345       -9.0350275509411908     
   337.56110817815983       -8.2325153846477122     
   337.21595194717037       -8.5288238509709089     
   336.82429824615286       -9.3413195573034002     
   337.43221819747032       -10.872445026274237     
   339.30201138944000       -10.622054022649669     
   339.22566865958856       -10.741786394684125     
   339.00321816702046       -10.891217507662299     
   338.70303958772365       -11.334485487666434     
   338.33975734903373       -12.296908816006423     
   336.35672581697560       -12.366890192652185     
   339.49179446755272       -14.064346147753335     
   342.64994725637939       -15.248073716329339     
 #           10
   0.0000000000000000        0.0000000000000000     
  -277.35549692841420       -80.045372489143617     
  -319.83952393271068       -2.4082722206752010     
  -312.07044344468602       -13.700927160936184     
  -287.13523971772059       -17.767741944502813     
  -240.36776439937540       -1.5578758170071048     
  -329.04490932862370        26.395441543778183     
  -345.72954085124826        29.156863518273564     
  -341.95278672111868        29.867346443836393     
  -349.31804330371625        28.626753714356109     
  -349.80678796543339        28.591245513464663     
  -349.79898660570740        28.619376353921719     
  -349.79899812577912        28.669390505773425     
  -349.73549595560030        28.629463542783103     
  -349.76678855896438        28.734962702646730     
  -349.90213822472117        28.744590419788263     
  -349.90063311201425        28.721349842450984     
  -349.91279539095154        28.716837283230010     
 #           11
   0.0000000000000000        0.0000000000000000     
  -227.71955398941907        177.41797559490249     
  -228.77910838300497        179.96132503853985     
  -148.22938969446486        106.95149551240910     
  -327.81321262084344        140.31412020904475     
  -290.54114888972987        74.855140217593359     
  -365.55570291850239        104.18295419627466     
  -387.87377538750889        113.52669604980014     
  -381.86515843936905        130.54327746191251     
  -353.89198178976250        107.75470938465247     
  -341.04946733202451        141.47189055631728     
  -400.90587115617234        168.91452565492654     
  -354.24123739889137        152.42385870046110     
  -325.23668068219985        93.115325419318850     
  -277.06822018799943        69.673947477722976     
  -193.64048609346625        64.903854468174870     
